EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Multifamily house,Detached,1946.0,2009.0,3.0,756,1.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,1.0,0
Multifamily house,Gable,1903.0,,7.0,3151,1.0,2.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0
Premise building,Detached,1964.0,,3.0,5870,0.0,4.0,86.0,0.0,1.0,1.0,0.0,0.0,1.0,,,1.0,,,,0
Multifamily house,Gable,1946.0,1989.0,6.0,5189,2.0,3.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,0
Multifamily house,Intermediate,1926.0,1959.0,6.0,2737,2.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,,,0
Multifamily house,Intermediate,1948.0,1977.0,7.0,2484,1.0,1.0,30.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
Multifamily house,Detached,1965.0,,3.0,1914,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
Multifamily house,Detached,1963.0,1982.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
Multifamily house,Detached,1959.0,2012.0,8.0,3581,1.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,,0
Multifamily house,Detached,1959.0,2012.0,8.0,3142,1.0,1.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,0.0,0
Multifamily house,Detached,1968.0,2003.0,5.0,1963,0.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,0.0,0
Multifamily house,Detached,1968.0,2003.0,4.0,1879,0.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,0.0,0
Multifamily house,Detached,1968.0,2003.0,3.0,1673,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,0.0,0
